cell_index,orginal_cell_index,cell_type,coordinates,neighbors,velocity,midpoint,area,oil_amount,scaled_normals
3108,3286,Sim_Triangle,"[(np.float64(0.4927493247103187), np.float64(0.627731604228087)), (np.float64(0.4752734080980444), np.float64(0.6197766849533242)), (np.float64(0.4896621132554038), np.float64(0.6082485961193637))]","[{462: [np.int64(1097), np.int64(1099)]}, {3311: [np.int64(1097), np.int64(1747)]}, {3587: [np.int64(1099), np.int64(1747)]}]",[ 0.52140664 -0.48589495],"[np.float64(0.48589494868792227), np.float64(0.6185856284335917)]",0.00015796245357817116,1.3605616038186651e-37,"[{462: array([-0.00795492,  0.01747592])}, {3587: array([-0.01152809, -0.01438871])}, {3311: array([ 0.01948301, -0.00308721])}]"
3109,3287,Sim_Triangle,"[(np.float64(0.3215560109460089), np.float64(0.5824445405238731)), (np.float64(0.335366426234365), np.float64(0.5689737002741573)), (np.float64(0.3407464117401606), np.float64(0.5873304968818516))]","[{352: [np.int64(1152), np.int64(1725)]}, {483: [np.int64(1152), np.int64(1151)]}, {3466: [np.int64(1725), np.int64(1151)]}]",[ 0.51307166 -0.33255628],"[np.float64(0.33255628297351153), np.float64(0.5795829125599606)]",0.00016299395490525215,5.827187328496237e-40,"[{483: array([-0.01347084, -0.01381042])}, {352: array([ 0.0183568 , -0.00537999])}, {3466: array([-0.00488596,  0.0191904 ])}]"
3110,3288,Sim_Triangle,"[(np.float64(0.73927006093826), np.float64(0.7604847305378872)), (np.float64(0.7217900519621192), np.float64(0.7512742502258075)), (np.float64(0.7367865611797918), np.float64(0.7416133407545349))]","[{118: [np.int64(123), np.int64(124)]}, {346: [np.int64(123), np.int64(1756)]}, {3499: [np.int64(124), np.int64(1756)]}]",[ 0.604601   -0.73261556],"[np.float64(0.7326155580267236), np.float64(0.7511241071727431)]",0.00015349891858741215,1.67533271274779e-107,"[{118: array([-0.00921048,  0.01748001])}, {3499: array([-0.00966091, -0.01499651])}, {346: array([ 0.01887139, -0.0024835 ])}]"
3111,3289,Sim_Triangle,"[(np.float64(0.9645175752762294), np.float64(0.3784804603700385)), (np.float64(0.9551943518823187), np.float64(0.3585267093796096)), (np.float64(0.9713783078421099), np.float64(0.3597783353880999))]","[{436: [np.int64(980), np.int64(1844)]}, {976: [np.int64(1082), np.int64(1844)]}, {2192: [np.int64(1082), np.int64(980)]}]",[ 0.17285582 -0.96369675],"[np.float64(0.9636967450002194), np.float64(0.3655951683792493)]",0.00015563071918947853,8.631992720151613e-39,"[{2192: array([-0.01995375,  0.00932322])}, {976: array([ 0.00125163, -0.01618396])}, {436: array([0.01870212, 0.00686073])}]"
3112,3290,Sim_Triangle,"[(np.float64(0.3537337859092156), np.float64(0.501428615420102)), (np.float64(0.3487600657495418), np.float64(0.4822983388231923)), (np.float64(0.3673441474004645), np.float64(0.487523236191869))]","[{2542: [np.int64(905), np.int64(1516)]}, {3206: [np.int64(1716), np.int64(1516)]}, {3291: [np.int64(905), np.int64(1716)]}]",[ 0.4190942  -0.35661267],"[np.float64(0.356612666353074), np.float64(0.4904167301450544)]",0.00016476572245344555,9.937200249039881e-28,"[{2542: array([-0.01913028,  0.00497372])}, {3291: array([ 0.0052249 , -0.01858408])}, {3206: array([0.01390538, 0.01361036])}]"
3113,3291,Sim_Triangle,"[(np.float64(0.3673441474004645), np.float64(0.487523236191869)), (np.float64(0.3487600657495418), np.float64(0.4822983388231923)), (np.float64(0.3622430440970442), np.float64(0.4681511010504064))]","[{1653: [np.int64(1716), np.int64(1717)]}, {3290: [np.int64(905), np.int64(1716)]}, {3292: [np.int64(905), np.int64(1717)]}]",[ 0.40743441 -0.35944909],"[np.float64(0.3594490857490169), np.float64(0.4793242253551559)]",0.0001666802999971302,3.3347624586288267e-26,"[{3290: array([-0.0052249 ,  0.01858408])}, {3292: array([-0.01414724, -0.01348298])}, {1653: array([ 0.01937214, -0.0051011 ])}]"
3114,3292,Sim_Triangle,"[(np.float64(0.3487600657495418), np.float64(0.4822983388231923)), (np.float64(0.3434010919033155), np.float64(0.4629963553786137)), (np.float64(0.3622430440970442), np.float64(0.4681511010504064))]","[{585: [np.int64(955), np.int64(1717)]}, {2307: [np.int64(905), np.int64(955)]}, {3291: [np.int64(905), np.int64(1717)]}]",[ 0.40085498 -0.35146807],"[np.float64(0.3514680672499672), np.float64(0.47114859841740414)]",0.00016803145103390339,6.19434286009143e-26,"[{2307: array([-0.01930198,  0.00535897])}, {585: array([ 0.00515475, -0.01884195])}, {3291: array([0.01414724, 0.01348298])}]"
3115,3293,Sim_Triangle,"[(np.float64(0.9490907239381448), np.float64(0.8066883033425132)), (np.float64(0.9650577942165709), np.float64(0.8204581890541018)), (np.float64(0.9492807043774338), np.float64(0.8256623879542109))]","[{405: [np.int64(1228), np.int64(822)]}, {3294: [np.int64(1228), np.int64(1845)]}, {3471: [np.int64(1845), np.int64(822)]}]",[ 0.62670768 -0.95447641],"[np.float64(0.9544764075107164), np.float64(0.817602960116942)]",0.0001501722667636665,2.935945648666688e-102,"[{405: array([ 0.01376989, -0.01596707])}, {3294: array([0.0052042 , 0.01577709])}, {3471: array([-0.01897408,  0.00018998])}]"
3116,3294,Sim_Triangle,"[(np.float64(0.9650577942165709), np.float64(0.8204581890541018)), (np.float64(0.9607346131919469), np.float64(0.841209835938423)), (np.float64(0.9492807043774338), np.float64(0.8256623879542109))]","[{191: [np.int64(1090), np.int64(1228)]}, {3293: [np.int64(1228), np.int64(1845)]}, {3474: [np.int64(1090), np.int64(1845)]}]",[ 0.6374386 -0.9583577],"[np.float64(0.9583577039286505), np.float64(0.8291101376489118)]",0.00015245095163533165,1.4365938437724212e-102,"[{191: array([0.02075165, 0.00432318])}, {3474: array([-0.01554745,  0.01145391])}, {3293: array([-0.0052042 , -0.01577709])}]"
3117,3295,Sim_Triangle,"[(np.float64(0.554117127212067), np.float64(0.05552619687399893)), (np.float64(0.5346791247791662), np.float64(0.05091255737842335)), (np.float64(0.5467752295640295), np.float64(0.03515864658300628))]","[{2016: [np.int64(992), np.int64(974)]}, {3215: [np.int64(974), np.int64(1718)]}, {3477: [np.int64(992), np.int64(1718)]}]",[-0.06183897 -0.54519049],"[np.float64(0.5451904938517541), np.float64(0.04719913361180952)]",0.0001810158115735419,7.088586643309527e-05,"[{2016: array([-0.00461364,  0.019438  ])}, {3477: array([-0.01575391, -0.0120961 ])}, {3215: array([ 0.02036755, -0.0073419 ])}]"
3118,3296,Sim_Triangle,"[(np.float64(0.2021625448910294), np.float64(0.139099288563574)), (np.float64(0.1872260707649906), np.float64(0.1233827731830797)), (np.float64(0.2024086838940462), np.float64(0.118377603638168))]","[{368: [np.int64(1126), np.int64(1830)]}, {633: [np.int64(1125), np.int64(1830)]}, {2775: [np.int64(1125), np.int64(1126)]}]",[ 0.08750007 -0.19726577],"[np.float64(0.19726576651668873), np.float64(0.1269532217949406)]",0.00015668867908145414,1.938481568165916e-16,"[{2775: array([-0.01571652,  0.01493647])}, {368: array([-0.00500517, -0.01518261])}, {633: array([0.02072168, 0.00024614])}]"
3119,3297,Sim_Triangle,"[(np.float64(0.4823157081717837), np.float64(0.05407941885813597)), (np.float64(0.4632413944189763), np.float64(0.04882758856175538)), (np.float64(0.4775824782115548), np.float64(0.03544660328696474))]","[{3171: [np.int64(1075), np.int64(1684)]}, {3299: [np.int64(1684), np.int64(1719)]}, {3641: [np.int64(1075), np.int64(1719)]}]",[-0.0487581  -0.47437986],"[np.float64(0.4743798602674383), np.float64(0.046117870235618696)]",0.00016527502489892425,0.0002672500651088583,"[{3171: array([-0.00525183,  0.01907431])}, {3641: array([-0.01338099, -0.01434108])}, {3299: array([ 0.01863282, -0.00473323])}]"
3120,3298,Sim_Triangle,"[(np.float64(0.2862928351865506), np.float64(0.4477400518634585)), (np.float64(0.2812003680721194), np.float64(0.4286414155481187)), (np.float64(0.3001816641549654), np.float64(0.4334824840481259))]","[{1956: [np.int64(952), np.int64(935)]}, {3217: [np.int64(1720), np.int64(935)]}, {3221: [np.int64(952), np.int64(1720)]}]",[ 0.37877633 -0.28922496],"[np.float64(0.2892249558045451), np.float64(0.4366213171532343)]",0.00016893194427253217,2.384589220438068e-26,"[{1956: array([-0.01909864,  0.00509247])}, {3221: array([ 0.00484107, -0.0189813 ])}, {3217: array([0.01425757, 0.01388883])}]"
3121,3299,Sim_Triangle,"[(np.float64(0.4963003809381162), np.float64(0.03984292449110596)), (np.float64(0.4823157081717837), np.float64(0.05407941885813597)), (np.float64(0.4775824782115548), np.float64(0.03544660328696474))]","[{3064: [np.int64(1059), np.int64(1684)]}, {3168: [np.int64(1059), np.int64(1719)]}, {3297: [np.int64(1684), np.int64(1719)]}]",[-0.05395692 -0.48539952],"[np.float64(0.48539952244048484), np.float64(0.043122982212068894)]",0.0001639792150724552,0.0002981738270469564,"[{3064: array([0.01423649, 0.01398467])}, {3297: array([-0.01863282,  0.00473323])}, {3168: array([ 0.00439632, -0.0187179 ])}]"
3122,3300,Sim_Triangle,"[(np.float64(0.3276248443680708), np.float64(0.4049171621074213)), (np.float64(0.3327318362737063), np.float64(0.4240433558567465)), (np.float64(0.3139085118563131), np.float64(0.4192362151460827))]","[{1469: [np.int64(488), np.int64(489)]}, {3207: [np.int64(488), np.int64(1721)]}, {3212: [np.int64(489), np.int64(1721)]}]",[ 0.35111456 -0.32475506],"[np.float64(0.32475506416603006), np.float64(0.41606557770341684)]",0.00016773426055742807,2.665963355928124e-22,"[{1469: array([ 0.01912619, -0.00510699])}, {3212: array([-0.00480714,  0.01882332])}, {3207: array([-0.01431905, -0.01371633])}]"
3123,3301,Sim_Triangle,"[(np.float64(0.8919307067132816), np.float64(0.1821378847191021)), (np.float64(0.9062493455192027), np.float64(0.168113592188211)), (np.float64(0.9111676745202884), np.float64(0.187230287027209))]","[{1373: [np.int64(1068), np.int64(1711)]}, {3262: [np.int64(1068), np.int64(1710)]}, {3282: [np.int64(1710), np.int64(1711)]}]",[-0.00146259 -0.90311591],"[np.float64(0.903115908917591), np.float64(0.17916058797817405)]",0.00017135056661850973,2.959279896760814e-20,"[{3262: array([-0.01402429, -0.01431864])}, {1373: array([ 0.01911669, -0.00491833])}, {3282: array([-0.0050924 ,  0.01923697])}]"
